APYGARDOS_NR;APYGARDOS_PAVADINIMAS;APYLINKES_NR;APYLINKES_PAVADINIMAS;RINKEJU_SKAICIUS;VISO_DALYVAVO;BALSADEZEJE_GALIOJANTYS;BALSADEZEJE_NEGALIOJANTYS;PASTU_GALIOJANTYS;PASTU_NEGALIOJANTYS;VARDAS;PAVARDE;PARTIJA;BALSU_BALSADEZEJE;BALSU_PASTU;BALSU_VISO;PAPILDOMO_PROTOKOLO_POZYMIS;RKND_V_AR_ISSIKELE_PATS;RPL_UNIKALUS_NUMERIS;SAV
1;Naujamiesèio;2;Gedimino;4706;1635;1252;51;320;12;ÞYGIMANTAS;PAVILIONIS;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;846;213;1059;;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4706;1635;1252;51;320;12;VIRGILIJUS;ALEKNA;Lietuvos Respublikos liberalø sàjûdis;406;107;513;;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1929;932;679;21;210;22;ÞYGIMANTAS;PAVILIONIS;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;439;84;523;;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1929;932;679;21;210;22;VIRGILIJUS;ALEKNA;Lietuvos Respublikos liberalø sàjûdis;240;126;366;;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1464;689;621;21;47;0;ÞYGIMANTAS;PAVILIONIS;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;417;36;453;;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1464;689;621;21;47;0;VIRGILIJUS;ALEKNA;Lietuvos Respublikos liberalø sàjûdis;204;11;215;;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3446;1611;1383;87;139;2;ÞYGIMANTAS;PAVILIONIS;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;854;91;945;;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3446;1611;1383;87;139;2;VIRGILIJUS;ALEKNA;Lietuvos Respublikos liberalø sàjûdis;529;48;577;;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;13;Mindaugo;2292;906;789;41;76;0;ÞYGIMANTAS;PAVILIONIS;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;525;50;575;;;57013;Vilniaus miesto savivaldybë
1;Naujamiesèio;13;Mindaugo;2292;906;789;41;76;0;VIRGILIJUS;ALEKNA;Lietuvos Respublikos liberalø sàjûdis;264;26;290;;;57013;Vilniaus miesto savivaldybë
1;Naujamiesèio;15;Vytenio;2405;995;876;54;64;1;ÞYGIMANTAS;PAVILIONIS;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;599;45;644;;;57015;Vilniaus miesto savivaldybë
1;Naujamiesèio;15;Vytenio;2405;995;876;54;64;1;VIRGILIJUS;ALEKNA;Lietuvos Respublikos liberalø sàjûdis;277;19;296;;;57015;Vilniaus miesto savivaldybë
1;Naujamiesèio;16;Þemaitës;2945;937;778;92;65;2;ÞYGIMANTAS;PAVILIONIS;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;465;42;507;;;57016;Vilniaus miesto savivaldybë
1;Naujamiesèio;16;Þemaitës;2945;937;778;92;65;2;VIRGILIJUS;ALEKNA;Lietuvos Respublikos liberalø sàjûdis;313;23;336;;;57016;Vilniaus miesto savivaldybë
1;Naujamiesèio;17;Algirdo;3341;1100;967;40;90;3;ÞYGIMANTAS;PAVILIONIS;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;626;65;691;;;57017;Vilniaus miesto savivaldybë
1;Naujamiesèio;17;Algirdo;3341;1100;967;40;90;3;VIRGILIJUS;ALEKNA;Lietuvos Respublikos liberalø sàjûdis;341;25;366;;;57017;Vilniaus miesto savivaldybë
2;Senamiesèio;3;Saltoniðkiø;2895;1300;1100;27;168;5;ARTÛRAS;ZUOKAS;Lietuvos laisvës sàjunga (liberalai);339;43;382;;;57003;Vilniaus miesto savivaldybë
2;Senamiesèio;3;Saltoniðkiø;2895;1300;1100;27;168;5;MYKOLAS;MAJAUSKAS;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;761;125;886;;;57003;Vilniaus miesto savivaldybë
2;Senamiesèio;4;Sëliø;1521;686;614;16;55;1;ARTÛRAS;ZUOKAS;Lietuvos laisvës sàjunga (liberalai);231;18;249;;;57004;Vilniaus miesto savivaldybë
2;Senamiesèio;4;Sëliø;1521;686;614;16;55;1;MYKOLAS;MAJAUSKAS;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;383;37;420;;;57004;Vilniaus miesto savivaldybë
2;Senamiesèio;6;Vytauto;2745;1269;1091;39;134;5;ARTÛRAS;ZUOKAS;Lietuvos laisvës sàjunga (liberalai);368;34;402;;;57006;Vilniaus miesto savivaldybë
2;Senamiesèio;6;Vytauto;2745;1269;1091;39;134;5;MYKOLAS;MAJAUSKAS;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;723;100;823;;;57006;Vilniaus miesto savivaldybë
2;Senamiesèio;7;Birutës;1943;1008;902;31;71;4;ARTÛRAS;ZUOKAS;Lietuvos laisvës sàjunga (liberalai);309;25;334;;;57007;Vilniaus miesto savivaldybë
2;Senamiesèio;7;Birutës;1943;1008;902;31;71;4;MYKOLAS;MAJAUSKAS;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;593;46;639;;;57007;Vilniaus miesto savivaldybë
2;Senamiesèio;51;Dailës;1696;791;676;18;96;1;ARTÛRAS;ZUOKAS;Lietuvos laisvës sàjunga (liberalai);212;30;242;;;57051;Vilniaus miesto savivaldybë
2;Senamiesèio;51;Dailës;1696;791;676;18;96;1;MYKOLAS;MAJAUSKAS;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;464;66;530;;;57051;Vilniaus miesto savivaldybë
2;Senamiesèio;52;Uþupio;2461;1192;1072;31;85;4;ARTÛRAS;ZUOKAS;Lietuvos laisvës sàjunga (liberalai);370;27;397;;;57052;Vilniaus miesto savivaldybë
