APYGARDOS_NR;APYGARDOS_PAVADINIMAS;APYLINKES_NR;APYLINKES_PAVADINIMAS;RINKEJU_SKAICIUS;VISO_DALYVAVO;BALSADEZEJE_GALIOJANTYS;BALSADEZEJE_NEGALIOJANTYS;PASTU_GALIOJANTYS;PASTU_NEGALIOJANTYS;VARDAS;PAVARDE;PARTIJA;BALSU_BALSADEZEJE;BALSU_PASTU;BALSU_VISO;PAPILDOMO_PROTOKOLO_POZYMIS;RKND_V_AR_ISSIKELE_PATS;RPL_UNIKALUS_NUMERIS;SAV
1;Naujamiesèio;2;Gedimino;4714;2201;1636;52;500;13;ARÛNAS;EIGIRDAS;Tautininkø sàjunga;20;3;23;;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2201;1636;52;500;13;FAUSTAS;LATËNAS;Lietuvos socialdemokratø partija;173;26;199;;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2201;1636;52;500;13;ALVYDAS;MEDALINSKAS;Lietuvos centro partija;46;5;51;;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2201;1636;52;500;13;ÞYGIMANTAS;PAVILIONIS;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;769;225;994;;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2201;1636;52;500;13;ARTUR;LIUDKOVSKI;Lietuvos lenkø rinkimø akcija-Krikðèioniðkø ðeimø sàjunga;42;10;52;;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2201;1636;52;500;13;VIRGILIJUS;ALEKNA;Lietuvos Respublikos liberalø sàjûdis;321;128;449;;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2201;1636;52;500;13;EINARAS;VILDË;„Dràsos kelias“ politinë partija;3;4;7;;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2201;1636;52;500;13;LAURYNAS;OKOCKIS;Lietuvos þaliøjø partija;36;11;47;;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2201;1636;52;500;13;PETRAS;NAUSËDA;Lietuvos laisvës sàjunga (liberalai);91;30;121;;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2201;1636;52;500;13;JÛRATË;ZABIELAITË;Politinë partija „Lietuvos sàraðas“;77;14;91;;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2201;1636;52;500;13;DAIVA;URBONAVIÈIÛTË;Partija Tvarka ir teisingumas;13;4;17;;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2201;1636;52;500;13;DOVILË;ÐAKALIENË;Lietuvos valstieèiø ir þaliøjø sàjunga;0;23;23;;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2201;1636;52;500;13;ELONA;ÐVIPIENË;Lietuvos liaudies partija;17;8;25;;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2201;1636;52;500;13;IEVA;KAÈINSKAITË-URBONIENË;Darbo partija;28;9;37;;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1211;909;16;258;28;ARÛNAS;EIGIRDAS;Tautininkø sàjunga;3;5;8;;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1211;909;16;258;28;FAUSTAS;LATËNAS;Lietuvos socialdemokratø partija;89;17;106;;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1211;909;16;258;28;ALVYDAS;MEDALINSKAS;Lietuvos centro partija;35;11;46;;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1211;909;16;258;28;ÞYGIMANTAS;PAVILIONIS;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;369;55;424;;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1211;909;16;258;28;ARTUR;LIUDKOVSKI;Lietuvos lenkø rinkimø akcija-Krikðèioniðkø ðeimø sàjunga;33;10;43;;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1211;909;16;258;28;VIRGILIJUS;ALEKNA;Lietuvos Respublikos liberalø sàjûdis;189;39;228;;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1211;909;16;258;28;EINARAS;VILDË;„Dràsos kelias“ politinë partija;3;5;8;;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1211;909;16;258;28;LAURYNAS;OKOCKIS;Lietuvos þaliøjø partija;24;10;34;;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1211;909;16;258;28;PETRAS;NAUSËDA;Lietuvos laisvës sàjunga (liberalai);40;12;52;;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1211;909;16;258;28;JÛRATË;ZABIELAITË;Politinë partija „Lietuvos sàraðas“;34;13;47;;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1211;909;16;258;28;DAIVA;URBONAVIÈIÛTË;Partija Tvarka ir teisingumas;19;20;39;;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1211;909;16;258;28;DOVILË;ÐAKALIENË;Lietuvos valstieèiø ir þaliøjø sàjunga;56;15;71;;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1211;909;16;258;28;ELONA;ÐVIPIENË;Lietuvos liaudies partija;6;3;9;;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1211;909;16;258;28;IEVA;KAÈINSKAITË-URBONIENË;Darbo partija;9;43;52;;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;955;864;19;71;1;ARÛNAS;EIGIRDAS;Tautininkø sàjunga;2;0;2;;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;955;864;19;71;1;FAUSTAS;LATËNAS;Lietuvos socialdemokratø partija;122;8;130;;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;955;864;19;71;1;ALVYDAS;MEDALINSKAS;Lietuvos centro partija;32;0;32;;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;955;864;19;71;1;ÞYGIMANTAS;PAVILIONIS;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;365;40;405;;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;955;864;19;71;1;ARTUR;LIUDKOVSKI;Lietuvos lenkø rinkimø akcija-Krikðèioniðkø ðeimø sàjunga;34;2;36;;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;955;864;19;71;1;VIRGILIJUS;ALEKNA;Lietuvos Respublikos liberalø sàjûdis;152;15;167;;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;955;864;19;71;1;EINARAS;VILDË;„Dràsos kelias“ politinë partija;2;0;2;;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;955;864;19;71;1;LAURYNAS;OKOCKIS;Lietuvos þaliøjø partija;15;0;15;;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;955;864;19;71;1;PETRAS;NAUSËDA;Lietuvos laisvës sàjunga (liberalai);29;2;31;;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;955;864;19;71;1;JÛRATË;ZABIELAITË;Politinë partija „Lietuvos sàraðas“;27;0;27;;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;955;864;19;71;1;DAIVA;URBONAVIÈIÛTË;Partija Tvarka ir teisingumas;12;2;14;;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;955;864;19;71;1;DOVILË;ÐAKALIENË;Lietuvos valstieèiø ir þaliøjø sàjunga;45;2;47;;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;955;864;19;71;1;ELONA;ÐVIPIENË;Lietuvos liaudies partija;8;0;8;;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;955;864;19;71;1;IEVA;KAÈINSKAITË-URBONIENË;Darbo partija;19;0;19;;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1972;62;169;4;ARÛNAS;EIGIRDAS;Tautininkø sàjunga;15;0;15;;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1972;62;169;4;FAUSTAS;LATËNAS;Lietuvos socialdemokratø partija;250;11;261;;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1972;62;169;4;ALVYDAS;MEDALINSKAS;Lietuvos centro partija;46;4;50;;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1972;62;169;4;ÞYGIMANTAS;PAVILIONIS;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;783;86;869;;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1972;62;169;4;ARTUR;LIUDKOVSKI;Lietuvos lenkø rinkimø akcija-Krikðèioniðkø ðeimø sàjunga;121;8;129;;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1972;62;169;4;VIRGILIJUS;ALEKNA;Lietuvos Respublikos liberalø sàjûdis;393;27;420;;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1972;62;169;4;EINARAS;VILDË;„Dràsos kelias“ politinë partija;5;0;5;;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1972;62;169;4;LAURYNAS;OKOCKIS;Lietuvos þaliøjø partija;36;1;37;;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1972;62;169;4;PETRAS;NAUSËDA;Lietuvos laisvës sàjunga (liberalai);55;12;67;;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1972;62;169;4;JÛRATË;ZABIELAITË;Politinë partija „Lietuvos sàraðas“;58;7;65;;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1972;62;169;4;DAIVA;URBONAVIÈIÛTË;Partija Tvarka ir teisingumas;30;1;31;;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1972;62;169;4;DOVILË;ÐAKALIENË;Lietuvos valstieèiø ir þaliøjø sàjunga;118;5;123;;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1972;62;169;4;ELONA;ÐVIPIENË;Lietuvos liaudies partija;17;2;19;;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1972;62;169;4;IEVA;KAÈINSKAITË-URBONIENË;Darbo partija;45;5;50;;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;13;Mindaugo;2281;1285;1121;32;128;4;ARÛNAS;EIGIRDAS;Tautininkø sàjunga;6;1;7;;;57013;Vilniaus miesto savivaldybë
1;Naujamiesèio;13;Mindaugo;2281;1285;1121;32;128;4;FAUSTAS;LATËNAS;Lietuvos socialdemokratø partija;113;5;118;;;57013;Vilniaus miesto savivaldybë
1;Naujamiesèio;13;Mindaugo;2281;1285;1121;32;128;4;ALVYDAS;MEDALINSKAS;Lietuvos centro partija;31;5;36;;;57013;Vilniaus miesto savivaldybë
1;Naujamiesèio;13;Mindaugo;2281;1285;1121;32;128;4;ÞYGIMANTAS;PAVILIONIS;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;451;55;506;;;57013;Vilniaus miesto savivaldybë
