Apyg. Nr.;Apygardos pavadinimas;Apyl. Nr;Apylinkë;Savivaldybë;RPL_Unikalus_Numeris;Ið viso apylinkës sàraðe;"Ið viso balsavo apylinkëje
 (Pat.+Paðt.)";Rinkëjø iki 24 m. (Vyrø);Rinkëjø iki 24 m. (Moterø);Balsavo iki 24 m. (Vyrø);Balsavo iki 24 m. (Moterø);Rinkëjø 25 - 34 m. (Vyrø);Rinkëjø 25 - 34 m. (Moterø);Bals. iki 25 - 34 m. (Vyrø);Bals. iki 25 - 34 m. (Moterø);Rink. 35 - 44 m. (Vyrø);Rink. 35 - 44 m. (Moterø);Bals. 35 - 44 m. (Vyrø);Bals. 35 - 44 m. (Moterø);Rink. 45 - 54 m. (Vyrø);Rink. 45 - 54 m. (Moterø);Bals. 45 - 54 m. (Vyrø);Bals. 45 - 54 m. (Moterø);Rink. 55 - 64 m. (Vyrø);Rink. 55 - 64 m. (Moterø);Bals. 55 - 64 m. (Vyrø);Bals. 55 - 64 m. (Moterø);Rink. 65 - 74 m. (Vyrø);Rink. 65 - 74 m. (Moterø);Bals. 65 - 74 m. (Vyrø);Bals. 65 - 74 m. (Moterø);Rink. nuo 75 m. (Vyrø);Rink. nuo 75 m. (Moterø);Bals. nuo 75 m. (Vyrø);Bals. nuo 75 m. (Moterø);
1;Naujamiesèio;2;Gedimino;Vilniaus miesto savivaldybë;57002;4720;1610;197;170;50;32;763;956;248;289;457;513;139;157;297;273;107;113;228;247;71;111;119;183;56;94;102;215;48;95;
1;Naujamiesèio;8;Pamënkalnio;Vilniaus miesto savivaldybë;57008;1927;916;106;69;45;21;236;169;115;73;216;201;112;98;154;135;69;66;144;148;65;71;62;94;33;52;68;125;38;58;
1;Naujamiesèio;10;Taurakalnio;Vilniaus miesto savivaldybë;57010;1464;679;73;67;32;26;125;147;61;64;114;157;64;77;117;136;52;58;104;126;44;58;50;100;30;53;40;108;20;40;
1;Naujamiesèio;12;S. Konarskio;Vilniaus miesto savivaldybë;57012;3439;1596;124;143;50;64;333;391;152;168;279;324;139;165;215;262;96;133;299;431;127;195;148;196;70;91;95;199;52;94;
1;Naujamiesèio;13;Mindaugo;Vilniaus miesto savivaldybë;57013;2275;888;98;79;26;15;210;232;89;96;230;198;93;78;161;210;53;78;142;215;61;86;69;151;35;74;75;205;30;74;
1;Naujamiesèio;15;Vytenio;Vilniaus miesto savivaldybë;57015;2402;981;72;81;17;24;287;347;146;171;206;194;86;84;146;203;48;66;145;240;42;89;77;135;33;69;81;188;40;66;
1;Naujamiesèio;16;Þemaitës;Vilniaus miesto savivaldybë;57016;2944;921;124;99;24;24;313;335;111;114;202;220;54;60;194;257;51;73;224;328;71;101;98;189;36;64;98;263;41;97;
1;Naujamiesèio;17;Algirdo;Vilniaus miesto savivaldybë;57017;3348;1094;116;141;28;36;363;377;137;139;272;326;93;111;268;328;84;107;225;322;64;110;110;225;35;72;66;209;26;52;
2;Senamiesèio;3;Saltoniðkiø;Vilniaus miesto savivaldybë;57003;2912;1286;91;94;34;28;289;321;131;139;305;396;137;156;193;225;91;106;144;241;59;106;97;180;48;91;118;218;65;95;
2;Senamiesèio;4;Sëliø;Vilniaus miesto savivaldybë;57004;1523;678;60;67;14;27;141;160;65;69;132;171;62;67;134;172;67;80;109;120;51;63;56;87;26;46;34;80;14;27;
2;Senamiesèio;6;Vytauto;Vilniaus miesto savivaldybë;57006;2726;1238;111;125;43;43;205;202;70;87;231;270;111;116;219;252;95;105;186;272;97;134;125;186;66;89;104;238;61;121;
2;Senamiesèio;7;Birutës;Vilniaus miesto savivaldybë;57007;1946;997;78;83;36;27;125;161;66;78;181;232;88;115;155;181;75;82;104;188;55;102;91;135;62;82;91;141;56;73;
2;Senamiesèio;51;Dailës;Vilniaus miesto savivaldybë;57051;1717;783;65;81;27;26;158;166;62;74;150;193;78;91;163;185;87;98;122;144;50;56;54;108;26;56;45;83;22;30;
2;Senamiesèio;52;Uþupio;Vilniaus miesto savivaldybë;57052;2453;1174;93;96;36;29;207;240;95;117;268;314;139;147;185;223;87;107;132;207;60;99;120;178;65;99;61;129;34;60;
2;Senamiesèio;54;A. Juozapavièiaus;Vilniaus miesto savivaldybë;57054;3098;1289;122;121;35;36;320;313;130;135;264;276;106;123;242;335;97;134;199;298;85;128;113;179;49;84;96;220;54;93;
2;Senamiesèio;56;Licëjaus;Vilniaus miesto savivaldybë;57056;3138;888;130;143;39;33;300;329;79;77;219;261;48;77;257;333;65;97;246;379;72;116;149;207;53;79;48;137;12;41;
2;Senamiesèio;57;Senvagës;Vilniaus miesto savivaldybë;57057;3627;1327;151;120;36;40;278;285;107;87;236;249;68;77;260;362;95;115;249;328;80;104;132;301;59;143;195;481;100;216;
2;Senamiesèio;59;Konstitucijos;Vilniaus miesto savivaldybë;57059;3530;1314;145;150;35;47;425;446;163;183;338;339;128;125;284;315;105;107;251;291;105;100;127;207;57;93;62;150;24;42;
2;Senamiesèio;60;Senamiesèio;Vilniaus miesto savivaldybë;57060;1748;836;50;70;28;24;173;194;87;95;159;171;77;74;118;161;60;77;138;156;70;81;75;111;45;60;50;122;19;39;
2;Senamiesèio;62;Naugarduko;Vilniaus miesto savivaldybë;57062;2909;1331;117;107;41;36;280;327;131;140;317;325;157;157;241;289;111;126;174;234;71;106;94;163;53;83;74;167;38;81;
2;Senamiesèio;65;A. Vienuolio;Vilniaus miesto savivaldybë;57065;1665;740;58;68;21;21;152;145;79;67;142;161;76;68;147;176;68;66;108;140;44;66;60;110;23;52;64;134;32;57;
2;Senamiesèio;66;M. Daukðos;Vilniaus miesto savivaldybë;57066;2825;958;129;121;33;36;318;256;88;87;333;276;121;111;239;254;93;93;192;248;62;80;94;152;32;51;63;150;21;50;
2;Senamiesèio;67;V. Ðopeno;Vilniaus miesto savivaldybë;57067;2288;825;71;82;24;20;270;298;117;113;224;249;90;105;177;223;66;67;153;195;44;69;62;136;19;45;31;117;15;31;
4;Þirmûnø;151;Þirmûnø;Vilniaus miesto savivaldybë;57151;2385;1021;85;108;23;21;191;182;69;72;156;176;60;64;174;218;63;81;115;189;52;91;89;214;47;127;158;330;96;155;
4;Þirmûnø;152;Kareiviø;Vilniaus miesto savivaldybë;57152;1904;749;77;60;25;21;141;147;53;52;126;152;47;63;146;176;55;70;94;130;35;56;78;175;35;74;127;275;59;104;
4;Þirmûnø;153;Prekybininkø;Vilniaus miesto savivaldybë;57153;2982;1075;153;148;40;44;266;283;93;95;184;222;59;76;281;395;97;128;171;244;62;89;70;170;31;78;117;278;67;116;
4;Þirmûnø;154;Miestelio;Vilniaus miesto savivaldybë;57154;2125;724;70;79;21;14;181;200;50;63;155;177;48;60;133;192;46;61;138;203;45;78;74;157;32;63;94;272;43;100;
4;Þirmûnø;155;Moksleiviø;Vilniaus miesto savivaldybë;57155;2985;1022;125;124;28;34;232;273;70;86;187;237;56;66;226;279;67;96;168;268;63;95;100;240;43;105;136;390;65;148;
